,文采-均值,文采-方差,思维-均值,思维-方差,魔怔-均值,魔怔-方差,总分,总分方差,各维方差
SDFZ 拼贴卷子,4.04962406017293,14.4937271749557,3.91553884713534,7.32919083414514,7.41685793431579,8.93434697746491,29.7709210248649,119.484292498121,"=VAR(B14,D14,F14)"
sszcdjr,5.99999999999248,10.2284580499365,5.31954887215789,13.9480546603058,6.13603086668421,6.36841132050131,32.1976411646043,122.058172068119,"=VAR(B15,D15,F15)"
Two stars overlapped.,7.43308270678195,9.78689461739621,6.30501253135338,7.48693241039508,5.34602295210526,9.62091962869639,35.1317619527123,127.102418569684,"=VAR(B16,D16,F16)"
出生传,5.98157894736842,10.3114473684211,6.36340852127819,6.2203226318801,7.41234665610526,4.09752459556852,38.6994708208078,263.155637214009,"=VAR(B17,D17,F17)"
穿越乱谈,0,0,0,0,0,0,0,0,"=VAR(B18,D18,F18)"
哦（一）,7.76090225565413,4.25645900454417,6.53483709272932,4.20019413630588,7.35144440047368,4.70321275091396,41.530615685745,91.0236373774799,"=VAR(B19,D19,F19)"
合,6.8462406015188,6.63339211114917,6.49298245612782,5.20184270195825,8.1048278591579,4.48900712384303,41.1186450544331,41.1171808942846,"=VAR(B20,D20,F20)"
极限运动,7.95714285712782,3.99589569168118,8.16115288221053,3.88085730199828,7.53151958842105,3.90465672733611,45.116561021703,71.2916126259353,"=VAR(B21,D21,F21)"
镓钇镍镥铟晶体,7.26278195487218,6.26293979000023,7.48120300750376,2.98460436811911,7.43866244557895,6.69435030656482,42.2090172067053,105.326909292531,"=VAR(B22,D22,F22)"
杰尼龟凭啥儿不能学喷射火焰？？2,4.63533834588722,9.2578768347918,5.45313283211278,7.99301905528477,7.66121883657895,4.43444622294779,35.0802402229407,174.60988537025,"=VAR(B23,D23,F23)"
金色的太阳花海,8.22932330828571,4.4974030312628,7.33233082706767,3.50512113612842,6.955203799,3.78490495132808,42.9973682405482,78.0244642933783,"=VAR(B24,D24,F24)"
绝症,7.26691729322556,6.86498985566135,6.1145363408797,7.36195130673334,6.30692520773684,6.39333751562023,36.0620764555331,94.4455491303849,"=VAR(B25,D25,F25)"
可是这是我们最后一次见面啊 ,4.00751879701504,8.03055257178315,3.72681704263158,7.44875084511855,6.66986545315789,4.77678947140701,27.7755972850141,52.4287183630616,"=VAR(B26,D26,F26)"
泪水之机械迷城,6.13909774435338,4.28881728135058,6.08721804509774,2.87843298724182,5.96519588442105,5.80073867826869,34.2854367942465,56.2188871115068,"=VAR(B27,D27,F27)"
礼,6.62518796994737,7.65967329012132,5.71804511278947,6.724758324405,6.06218836563158,7.93309378273133,33.6662864205551,104.331404060898,"=VAR(B28,D28,F28)"
没抢到小三明治,6.83684210524812,5.42501849866316,7.87293233082707,5.28568922317102,7.22663237042105,3.51404327317227,41.6294700273385,30.5181550202414,"=VAR(B29,D29,F29)"
人生若只如初见,7.97894736843609,6.69050722031479,7.41854636592481,5.53271074517265,6.43941432531579,5.53628320890908,41.0512488889622,93.4478928699473,"=VAR(B30,D30,F30)"
如来 ,4.16466165412782,7.37819429528272,4.20200501257143,9.31665990392488,6.80407597947368,5.39284221289531,28.9296706583587,75.8639440557547,"=VAR(B31,D31,F31)"
杀人煮心5,8.5834586466015,2.01238691977124,8.13082706766917,3.87315789469149,7.57738425010526,4.20436172295048,46.9982799408263,134.867857015114,"=VAR(B32,D32,F32)"
沙波儿历险记,3.70676691731579,7.24880654005143,4.50375939849624,6.1255519751647,7.42362485163158,6.38037300740469,29.960436783922,75.2721920754118,"=VAR(B33,D33,F33)"
生在不醒梦之中,7.42225563908271,4.94285766803369,7.87619047613534,4.12541194257339,6.40069252078947,4.53251716789078,41.2847543218901,76.1308405423134,"=VAR(B34,D34,F34)"
树,9.34586466166165,1.54776823006409,8.06315789477444,4.5093495641894,5.85783537794737,8.12001149896785,43.1969419308776,54.1985263611276,"=VAR(B35,D35,F35)"
随机说话。,3.67518796991729,8.93489437881714,3.28822055137594,9.82646099348566,7.2356549268421,7.57807591112924,28.020126072826,115.532150017834,"=VAR(B36,D36,F36)"
